data_dir,C',SB,VV,HH,N
2025-06-20--23h-02m-38s,32.0,0.0,124.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,119.0,8.0,160.0
2025-06-20--23h-02m-38s,36.0,2.0,120.0,2.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,116.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,127.0,3.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,110.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,121.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,117.0,2.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,119.0,8.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,46.0,1.0,109.0,4.0,160.0
2025-06-20--23h-02m-38s,32.0,1.0,123.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,124.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,107.0,6.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,25.0,1.0,130.0,4.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,119.0,1.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,111.0,6.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,124.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,53.0,0.0,104.0,3.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,128.0,2.0,160.0
2025-06-20--23h-02m-38s,34.0,1.0,123.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,117.0,9.0,160.0
2025-06-20--23h-02m-38s,42.0,2.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,111.0,6.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,2.0,116.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,120.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,123.0,1.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,117.0,3.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,110.0,6.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,114.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,112.0,7.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,120.0,2.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,120.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,29.0,1.0,127.0,3.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,111.0,2.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,111.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,2.0,115.0,6.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,116.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,112.0,6.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,114.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,117.0,1.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,117.0,7.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,121.0,7.0,160.0
2025-06-20--23h-02m-38s,48.0,0.0,110.0,2.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,115.0,9.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,120.0,8.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,120.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,122.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,123.0,1.0,160.0
2025-06-20--23h-02m-38s,45.0,2.0,111.0,2.0,160.0
2025-06-20--23h-02m-38s,32.0,1.0,122.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,27.0,0.0,124.0,9.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,113.0,5.0,160.0
2025-06-20--23h-02m-38s,29.0,1.0,119.0,11.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,48.0,1.0,108.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,115.0,6.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,107.0,9.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,50.0,0.0,105.0,5.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,125.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,123.0,1.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,114.0,6.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,109.0,7.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,117.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,111.0,6.0,160.0
2025-06-20--23h-02m-38s,51.0,0.0,104.0,5.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,113.0,1.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,109.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,51.0,0.0,103.0,6.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,114.0,3.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,108.0,7.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,50.0,0.0,107.0,3.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,117.0,1.0,160.0
2025-06-20--23h-02m-38s,33.0,2.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,120.0,5.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,124.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,46.0,1.0,107.0,6.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,118.0,2.0,160.0
2025-06-20--23h-02m-38s,38.0,3.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,111.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,110.0,6.0,160.0
2025-06-20--23h-02m-38s,29.0,3.0,127.0,1.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,48.0,0.0,106.0,6.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,45.0,1.0,112.0,2.0,160.0
2025-06-20--23h-02m-38s,29.0,0.0,126.0,5.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,120.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,123.0,6.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,119.0,7.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,115.0,9.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,122.0,2.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,120.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,125.0,1.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,113.0,6.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,111.0,9.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,113.0,6.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,124.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,120.0,6.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,121.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,3.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,47.0,1.0,107.0,5.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,117.0,1.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,32.0,2.0,122.0,4.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,114.0,7.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,28.0,0.0,127.0,5.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,112.0,2.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,115.0,11.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,114.0,3.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,121.0,8.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,110.0,7.0,160.0
2025-06-20--23h-02m-38s,42.0,2.0,111.0,5.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,26.0,0.0,126.0,8.0,160.0
2025-06-20--23h-02m-38s,32.0,1.0,123.0,4.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,107.0,6.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,110.0,4.0,160.0
2025-06-20--23h-02m-38s,44.0,2.0,111.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,117.0,2.0,160.0
2025-06-20--23h-02m-38s,44.0,2.0,113.0,1.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,110.0,5.0,160.0
2025-06-20--23h-02m-38s,28.0,1.0,126.0,5.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,115.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,120.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,48.0,0.0,108.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,39.0,2.0,113.0,6.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,123.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,112.0,7.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,121.0,7.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,122.0,1.0,160.0
2025-06-20--23h-02m-38s,38.0,2.0,114.0,6.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,116.0,1.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,115.0,7.0,160.0
2025-06-20--23h-02m-38s,48.0,2.0,108.0,2.0,160.0
2025-06-20--23h-02m-38s,24.0,1.0,131.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,118.0,7.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,115.0,6.0,160.0
2025-06-20--23h-02m-38s,45.0,1.0,109.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,118.0,0.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,52.0,0.0,97.0,11.0,160.0
2025-06-20--23h-02m-38s,36.0,3.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,34.0,1.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,124.0,1.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,117.0,3.0,160.0
2025-06-20--23h-02m-38s,47.0,1.0,108.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,2.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,2.0,118.0,2.0,160.0
2025-06-20--23h-02m-38s,42.0,2.0,114.0,2.0,160.0
2025-06-20--23h-02m-38s,41.0,2.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,3.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,118.0,2.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,47.0,0.0,109.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,122.0,0.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,110.0,9.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,2.0,121.0,0.0,160.0
2025-06-20--23h-02m-38s,28.0,1.0,126.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,5.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,116.0,4.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,122.0,7.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,117.0,7.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,123.0,6.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,124.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,122.0,1.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,109.0,5.0,160.0
2025-06-20--23h-02m-38s,42.0,2.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,113.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,117.0,7.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,32.0,2.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,114.0,7.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,113.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,117.0,6.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,112.0,8.0,160.0
2025-06-20--23h-02m-38s,46.0,1.0,111.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,118.0,7.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,111.0,8.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,116.0,0.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,115.0,2.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,126.0,2.0,160.0
2025-06-20--23h-02m-38s,29.0,0.0,125.0,6.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,114.0,6.0,160.0
2025-06-20--23h-02m-38s,29.0,1.0,129.0,1.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,114.0,5.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,42.0,1.0,114.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,119.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,124.0,2.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,110.0,4.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,123.0,6.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,117.0,4.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,111.0,5.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,2.0,121.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,2.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,122.0,1.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,112.0,5.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,119.0,5.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,110.0,10.0,160.0
2025-06-20--23h-02m-38s,30.0,3.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,120.0,2.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,115.0,7.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,123.0,1.0,160.0
2025-06-20--23h-02m-38s,29.0,0.0,122.0,9.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,115.0,5.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,111.0,7.0,160.0
2025-06-20--23h-02m-38s,27.0,3.0,126.0,4.0,160.0
2025-06-20--23h-02m-38s,44.0,2.0,110.0,4.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,120.0,6.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,120.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,123.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,116.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,115.0,7.0,160.0
2025-06-20--23h-02m-38s,49.0,2.0,105.0,4.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,3.0,111.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,32.0,0.0,123.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,122.0,1.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,108.0,7.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,120.0,5.0,160.0
2025-06-20--23h-02m-38s,44.0,0.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,47.0,1.0,111.0,1.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,113.0,8.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,46.0,2.0,106.0,6.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,111.0,8.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,118.0,1.0,160.0
2025-06-20--23h-02m-38s,27.0,1.0,127.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,111.0,4.0,160.0
2025-06-20--23h-02m-38s,32.0,3.0,119.0,6.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,121.0,1.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,123.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,114.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,114.0,5.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,124.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,31.0,1.0,124.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,36.0,2.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,3.0,113.0,2.0,160.0
2025-06-20--23h-02m-38s,45.0,0.0,110.0,5.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,116.0,2.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,29.0,1.0,126.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,123.0,3.0,160.0
2025-06-20--23h-02m-38s,49.0,0.0,107.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,2.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,3.0,113.0,2.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,116.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,2.0,109.0,6.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,117.0,3.0,160.0
2025-06-20--23h-02m-38s,39.0,0.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,108.0,7.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,117.0,5.0,160.0
2025-06-20--23h-02m-38s,45.0,3.0,109.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,120.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,45.0,1.0,110.0,4.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,113.0,6.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,116.0,4.0,160.0
2025-06-20--23h-02m-38s,27.0,0.0,131.0,2.0,160.0
2025-06-20--23h-02m-38s,39.0,2.0,113.0,6.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,117.0,2.0,160.0
2025-06-20--23h-02m-38s,33.0,2.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,120.0,6.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,119.0,6.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,121.0,5.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,106.0,8.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,49.0,0.0,108.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,121.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,114.0,5.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,114.0,6.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,119.0,4.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,115.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,2.0,117.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,120.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,117.0,0.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,122.0,2.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,122.0,4.0,160.0
2025-06-20--23h-02m-38s,39.0,1.0,117.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,1.0,110.0,5.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,117.0,6.0,160.0
2025-06-20--23h-02m-38s,34.0,1.0,118.0,7.0,160.0
2025-06-20--23h-02m-38s,27.0,4.0,124.0,5.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,126.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,119.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,124.0,1.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,127.0,3.0,160.0
