data_dir,C,SB,DB_V,DB_H,N
2025-06-03--17h-07m-28s,14.0,48.0,134.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,49.0,143.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,64.0,126.0,5.0,200.0
2025-06-03--17h-07m-28s,14.0,53.0,131.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,35.0,147.0,8.0,200.0
2025-06-03--17h-07m-28s,8.0,60.0,131.0,1.0,200.0
2025-06-03--17h-07m-28s,3.0,50.0,145.0,2.0,200.0
2025-06-03--17h-07m-28s,9.0,37.0,152.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,41.0,144.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,47.0,137.0,6.0,200.0
2025-06-03--17h-07m-28s,13.0,46.0,132.0,9.0,200.0
2025-06-03--17h-07m-28s,3.0,47.0,147.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,40.0,145.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,49.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,42.0,152.0,1.0,200.0
2025-06-03--17h-07m-28s,8.0,57.0,130.0,5.0,200.0
2025-06-03--17h-07m-28s,9.0,40.0,145.0,6.0,200.0
2025-06-03--17h-07m-28s,10.0,46.0,142.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,49.0,137.0,6.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,143.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,42.0,153.0,2.0,200.0
2025-06-03--17h-07m-28s,3.0,45.0,148.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,51.0,137.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,45.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,12.0,48.0,133.0,7.0,200.0
2025-06-03--17h-07m-28s,8.0,54.0,130.0,8.0,200.0
2025-06-03--17h-07m-28s,6.0,43.0,146.0,5.0,200.0
2025-06-03--17h-07m-28s,12.0,54.0,132.0,2.0,200.0
2025-06-03--17h-07m-28s,3.0,51.0,143.0,3.0,200.0
2025-06-03--17h-07m-28s,4.0,42.0,147.0,7.0,200.0
2025-06-03--17h-07m-28s,3.0,58.0,138.0,1.0,200.0
2025-06-03--17h-07m-28s,10.0,52.0,135.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,48.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,11.0,47.0,136.0,6.0,200.0
2025-06-03--17h-07m-28s,9.0,42.0,143.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,49.0,143.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,44.0,149.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,135.0,7.0,200.0
2025-06-03--17h-07m-28s,6.0,53.0,138.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,39.0,155.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,56.0,133.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,34.0,153.0,6.0,200.0
2025-06-03--17h-07m-28s,8.0,40.0,146.0,6.0,200.0
2025-06-03--17h-07m-28s,9.0,42.0,143.0,6.0,200.0
2025-06-03--17h-07m-28s,2.0,46.0,148.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,144.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,42.0,147.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,46.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,44.0,143.0,6.0,200.0
2025-06-03--17h-07m-28s,5.0,52.0,142.0,1.0,200.0
2025-06-03--17h-07m-28s,8.0,45.0,140.0,7.0,200.0
2025-06-03--17h-07m-28s,7.0,52.0,139.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,45.0,146.0,3.0,200.0
2025-06-03--17h-07m-28s,11.0,50.0,133.0,6.0,200.0
2025-06-03--17h-07m-28s,9.0,44.0,141.0,6.0,200.0
2025-06-03--17h-07m-28s,13.0,47.0,133.0,7.0,200.0
2025-06-03--17h-07m-28s,6.0,45.0,144.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,41.0,150.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,53.0,139.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,49.0,140.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,140.0,8.0,200.0
2025-06-03--17h-07m-28s,7.0,52.0,139.0,2.0,200.0
2025-06-03--17h-07m-28s,14.0,40.0,141.0,5.0,200.0
2025-06-03--17h-07m-28s,12.0,51.0,132.0,5.0,200.0
2025-06-03--17h-07m-28s,9.0,39.0,147.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,54.0,137.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,50.0,136.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,42.0,145.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,52.0,144.0,0.0,200.0
2025-06-03--17h-07m-28s,3.0,51.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,12.0,44.0,139.0,5.0,200.0
2025-06-03--17h-07m-28s,5.0,49.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,55.0,134.0,3.0,200.0
2025-06-03--17h-07m-28s,1.0,50.0,147.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,49.0,134.0,9.0,200.0
2025-06-03--17h-07m-28s,9.0,41.0,148.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,49.0,144.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,48.0,145.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,54.0,136.0,0.0,200.0
2025-06-03--17h-07m-28s,5.0,42.0,151.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,48.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,9.0,64.0,123.0,4.0,200.0
2025-06-03--17h-07m-28s,13.0,43.0,142.0,2.0,200.0
2025-06-03--17h-07m-28s,4.0,44.0,147.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,47.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,3.0,51.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,59.0,126.0,7.0,200.0
2025-06-03--17h-07m-28s,5.0,45.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,49.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,40.0,146.0,7.0,200.0
2025-06-03--17h-07m-28s,8.0,45.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,54.0,136.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,52.0,142.0,1.0,200.0
2025-06-03--17h-07m-28s,12.0,50.0,134.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,34.0,154.0,6.0,200.0
2025-06-03--17h-07m-28s,12.0,56.0,130.0,2.0,200.0
2025-06-03--17h-07m-28s,7.0,45.0,146.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,45.0,139.0,8.0,200.0
2025-06-03--17h-07m-28s,3.0,56.0,137.0,4.0,200.0
2025-06-03--17h-07m-28s,13.0,49.0,135.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,42.0,141.0,10.0,200.0
2025-06-03--17h-07m-28s,8.0,42.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,48.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,35.0,150.0,7.0,200.0
2025-06-03--17h-07m-28s,6.0,40.0,152.0,2.0,200.0
2025-06-03--17h-07m-28s,13.0,54.0,132.0,1.0,200.0
2025-06-03--17h-07m-28s,12.0,46.0,136.0,6.0,200.0
2025-06-03--17h-07m-28s,4.0,51.0,138.0,7.0,200.0
2025-06-03--17h-07m-28s,8.0,49.0,137.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,50.0,138.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,50.0,142.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,51.0,139.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,51.0,140.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,40.0,142.0,8.0,200.0
2025-06-03--17h-07m-28s,13.0,39.0,146.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,141.0,9.0,200.0
2025-06-03--17h-07m-28s,4.0,39.0,151.0,6.0,200.0
2025-06-03--17h-07m-28s,11.0,50.0,135.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,47.0,139.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,51.0,140.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,46.0,147.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,62.0,127.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,56.0,133.0,8.0,200.0
2025-06-03--17h-07m-28s,5.0,45.0,148.0,2.0,200.0
2025-06-03--17h-07m-28s,11.0,44.0,141.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,47.0,140.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,35.0,155.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,41.0,151.0,2.0,200.0
2025-06-03--17h-07m-28s,9.0,47.0,138.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,44.0,144.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,50.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,54.0,136.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,51.0,143.0,1.0,200.0
2025-06-03--17h-07m-28s,8.0,47.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,46.0,147.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,54.0,136.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,58.0,131.0,4.0,200.0
2025-06-03--17h-07m-28s,20.0,47.0,129.0,4.0,200.0
2025-06-03--17h-07m-28s,3.0,43.0,146.0,8.0,200.0
2025-06-03--17h-07m-28s,10.0,49.0,135.0,6.0,200.0
2025-06-03--17h-07m-28s,2.0,52.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,141.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,45.0,145.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,43.0,144.0,7.0,200.0
2025-06-03--17h-07m-28s,11.0,50.0,139.0,0.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,140.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,46.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,59.0,133.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,34.0,156.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,40.0,149.0,7.0,200.0
2025-06-03--17h-07m-28s,10.0,45.0,136.0,9.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,12.0,38.0,145.0,5.0,200.0
2025-06-03--17h-07m-28s,9.0,47.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,2.0,51.0,142.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,42.0,147.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,46.0,140.0,8.0,200.0
2025-06-03--17h-07m-28s,8.0,57.0,128.0,7.0,200.0
2025-06-03--17h-07m-28s,8.0,51.0,136.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,46.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,4.0,46.0,148.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,48.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,4.0,43.0,151.0,2.0,200.0
2025-06-03--17h-07m-28s,7.0,50.0,142.0,1.0,200.0
2025-06-03--17h-07m-28s,11.0,45.0,140.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,45.0,144.0,1.0,200.0
2025-06-03--17h-07m-28s,6.0,40.0,153.0,1.0,200.0
2025-06-03--17h-07m-28s,3.0,58.0,134.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,47.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,36.0,151.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,41.0,147.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,46.0,146.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,52.0,139.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,39.0,146.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,139.0,7.0,200.0
2025-06-03--17h-07m-28s,4.0,58.0,134.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,43.0,146.0,3.0,200.0
2025-06-03--17h-07m-28s,11.0,48.0,137.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,50.0,135.0,5.0,200.0
2025-06-03--17h-07m-28s,15.0,40.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,47.0,143.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,43.0,141.0,8.0,200.0
2025-06-03--17h-07m-28s,2.0,49.0,142.0,7.0,200.0
2025-06-03--17h-07m-28s,11.0,47.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,60.0,132.0,5.0,200.0
2025-06-03--17h-07m-28s,5.0,52.0,141.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,41.0,151.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,49.0,141.0,4.0,200.0
2025-06-03--17h-07m-28s,2.0,44.0,145.0,9.0,200.0
2025-06-03--17h-07m-28s,7.0,46.0,142.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,54.0,137.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,37.0,153.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,48.0,144.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,49.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,4.0,48.0,146.0,2.0,200.0
2025-06-03--17h-07m-28s,11.0,42.0,144.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,48.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,47.0,146.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,49.0,141.0,5.0,200.0
2025-06-03--17h-07m-28s,5.0,36.0,154.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,41.0,152.0,1.0,200.0
2025-06-03--17h-07m-28s,9.0,37.0,151.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,57.0,132.0,8.0,200.0
2025-06-03--17h-07m-28s,4.0,41.0,148.0,7.0,200.0
2025-06-03--17h-07m-28s,11.0,42.0,142.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,50.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,36.0,150.0,4.0,200.0
2025-06-03--17h-07m-28s,4.0,58.0,135.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,139.0,9.0,200.0
2025-06-03--17h-07m-28s,11.0,49.0,136.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,47.0,140.0,6.0,200.0
2025-06-03--17h-07m-28s,9.0,44.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,4.0,44.0,147.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,47.0,139.0,6.0,200.0
2025-06-03--17h-07m-28s,3.0,48.0,146.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,54.0,132.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,44.0,139.0,10.0,200.0
2025-06-03--17h-07m-28s,2.0,40.0,152.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,50.0,139.0,4.0,200.0
2025-06-03--17h-07m-28s,4.0,41.0,147.0,8.0,200.0
2025-06-03--17h-07m-28s,5.0,52.0,136.0,7.0,200.0
2025-06-03--17h-07m-28s,10.0,50.0,135.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,44.0,141.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,47.0,137.0,6.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,144.0,2.0,200.0
2025-06-03--17h-07m-28s,7.0,55.0,137.0,1.0,200.0
2025-06-03--17h-07m-28s,11.0,50.0,135.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,53.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,40.0,150.0,4.0,200.0
2025-06-03--17h-07m-28s,14.0,49.0,133.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,46.0,143.0,1.0,200.0
2025-06-03--17h-07m-28s,7.0,51.0,141.0,1.0,200.0
2025-06-03--17h-07m-28s,4.0,49.0,138.0,9.0,200.0
2025-06-03--17h-07m-28s,3.0,51.0,146.0,0.0,200.0
2025-06-03--17h-07m-28s,8.0,48.0,138.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,53.0,138.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,55.0,133.0,6.0,200.0
2025-06-03--17h-07m-28s,4.0,51.0,141.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,148.0,2.0,200.0
2025-06-03--17h-07m-28s,9.0,47.0,140.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,45.0,148.0,1.0,200.0
2025-06-03--17h-07m-28s,7.0,60.0,130.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,41.0,152.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,48.0,141.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,39.0,151.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,50.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,43.0,147.0,0.0,200.0
2025-06-03--17h-07m-28s,5.0,47.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,12.0,50.0,137.0,1.0,200.0
2025-06-03--17h-07m-28s,11.0,45.0,141.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,39.0,152.0,2.0,200.0
2025-06-03--17h-07m-28s,2.0,48.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,45.0,145.0,2.0,200.0
2025-06-03--17h-07m-28s,9.0,42.0,145.0,4.0,200.0
2025-06-03--17h-07m-28s,9.0,42.0,145.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,43.0,148.0,3.0,200.0
2025-06-03--17h-07m-28s,4.0,56.0,137.0,3.0,200.0
2025-06-03--17h-07m-28s,2.0,48.0,147.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,143.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,45.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,145.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,54.0,135.0,6.0,200.0
2025-06-03--17h-07m-28s,4.0,40.0,151.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,54.0,132.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,42.0,148.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,48.0,143.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,53.0,138.0,4.0,200.0
2025-06-03--17h-07m-28s,9.0,43.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,39.0,146.0,7.0,200.0
2025-06-03--17h-07m-28s,7.0,52.0,139.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,42.0,149.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,50.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,10.0,43.0,140.0,7.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,145.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,45.0,147.0,4.0,200.0
2025-06-03--17h-07m-28s,9.0,49.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,36.0,150.0,8.0,200.0
2025-06-03--17h-07m-28s,5.0,44.0,150.0,1.0,200.0
2025-06-03--17h-07m-28s,10.0,49.0,137.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,142.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,46.0,140.0,7.0,200.0
2025-06-03--17h-07m-28s,5.0,43.0,151.0,1.0,200.0
2025-06-03--17h-07m-28s,7.0,48.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,147.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,58.0,131.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,41.0,148.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,9.0,46.0,141.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,44.0,143.0,8.0,200.0
2025-06-03--17h-07m-28s,7.0,44.0,145.0,4.0,200.0
2025-06-03--17h-07m-28s,10.0,53.0,128.0,9.0,200.0
2025-06-03--17h-07m-28s,11.0,42.0,142.0,5.0,200.0
2025-06-03--17h-07m-28s,11.0,51.0,136.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,36.0,155.0,4.0,200.0
2025-06-03--17h-07m-28s,5.0,53.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,45.0,142.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,7.0,53.0,138.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,43.0,148.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,56.0,133.0,3.0,200.0
2025-06-03--17h-07m-28s,6.0,49.0,143.0,2.0,200.0
2025-06-03--17h-07m-28s,12.0,50.0,135.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,42.0,145.0,4.0,200.0
2025-06-03--17h-07m-28s,9.0,43.0,144.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,55.0,135.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,141.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,41.0,150.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,53.0,136.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,44.0,146.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,46.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,41.0,149.0,5.0,200.0
2025-06-03--17h-07m-28s,5.0,50.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,145.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,44.0,145.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,45.0,143.0,6.0,200.0
2025-06-03--17h-07m-28s,9.0,44.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,143.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,48.0,143.0,2.0,200.0
2025-06-03--17h-07m-28s,5.0,47.0,148.0,0.0,200.0
2025-06-03--17h-07m-28s,10.0,48.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,43.0,144.0,5.0,200.0
2025-06-03--17h-07m-28s,4.0,44.0,147.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,46.0,140.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,60.0,131.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,45.0,148.0,4.0,200.0
2025-06-03--17h-07m-28s,11.0,48.0,136.0,5.0,200.0
2025-06-03--17h-07m-28s,7.0,43.0,143.0,7.0,200.0
2025-06-03--17h-07m-28s,10.0,60.0,127.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,49.0,143.0,3.0,200.0
2025-06-03--17h-07m-28s,12.0,43.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,59.0,132.0,1.0,200.0
2025-06-03--17h-07m-28s,10.0,53.0,134.0,3.0,200.0
2025-06-03--17h-07m-28s,3.0,45.0,149.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,49.0,139.0,5.0,200.0
2025-06-03--17h-07m-28s,9.0,37.0,151.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,46.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,54.0,139.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,47.0,141.0,2.0,200.0
2025-06-03--17h-07m-28s,2.0,51.0,144.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,55.0,129.0,7.0,200.0
2025-06-03--17h-07m-28s,12.0,48.0,139.0,1.0,200.0
2025-06-03--17h-07m-28s,9.0,55.0,135.0,1.0,200.0
2025-06-03--17h-07m-28s,11.0,41.0,146.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,44.0,145.0,3.0,200.0
2025-06-03--17h-07m-28s,5.0,58.0,134.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,40.0,143.0,8.0,200.0
2025-06-03--17h-07m-28s,9.0,49.0,138.0,4.0,200.0
2025-06-03--17h-07m-28s,14.0,41.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,13.0,46.0,141.0,0.0,200.0
2025-06-03--17h-07m-28s,6.0,46.0,147.0,1.0,200.0
2025-06-03--17h-07m-28s,10.0,49.0,138.0,3.0,200.0
2025-06-03--17h-07m-28s,9.0,43.0,142.0,6.0,200.0
2025-06-03--17h-07m-28s,4.0,45.0,144.0,7.0,200.0
2025-06-03--17h-07m-28s,2.0,51.0,143.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,137.0,5.0,200.0
2025-06-03--17h-07m-28s,3.0,43.0,150.0,4.0,200.0
2025-06-03--17h-07m-28s,3.0,37.0,156.0,4.0,200.0
2025-06-03--17h-07m-28s,1.0,32.0,161.0,6.0,200.0
2025-06-03--17h-07m-28s,7.0,59.0,130.0,4.0,200.0
2025-06-03--17h-07m-28s,4.0,51.0,142.0,3.0,200.0
2025-06-03--17h-07m-28s,7.0,52.0,135.0,6.0,200.0
2025-06-03--17h-07m-28s,2.0,38.0,159.0,1.0,200.0
2025-06-03--17h-07m-28s,4.0,46.0,146.0,4.0,200.0
2025-06-03--17h-07m-28s,6.0,36.0,156.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,48.0,140.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,51.0,138.0,5.0,200.0
2025-06-03--17h-07m-28s,11.0,53.0,131.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,52.0,133.0,7.0,200.0
2025-06-03--17h-07m-28s,8.0,47.0,143.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,42.0,148.0,2.0,200.0
2025-06-03--17h-07m-28s,8.0,57.0,130.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,46.0,143.0,5.0,200.0
2025-06-03--17h-07m-28s,6.0,54.0,138.0,2.0,200.0
2025-06-03--17h-07m-28s,12.0,60.0,126.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,41.0,143.0,6.0,200.0
2025-06-03--17h-07m-28s,5.0,53.0,136.0,6.0,200.0
2025-06-03--17h-07m-28s,6.0,52.0,139.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,34.0,156.0,2.0,200.0
2025-06-03--17h-07m-28s,10.0,45.0,140.0,5.0,200.0
2025-06-03--17h-07m-28s,8.0,43.0,147.0,2.0,200.0
2025-06-03--17h-07m-28s,6.0,42.0,149.0,3.0,200.0
2025-06-03--17h-07m-28s,8.0,50.0,139.0,3.0,200.0
